Município1,Código Município IBGE,População estimada (2020),UF1,day.of.week,date,Média de Índice De Isolamento..
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2021-10-05,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2021-09-05,0.45
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2021-08-05,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2021-07-05,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2021-06-05,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2021-05-05,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2021-04-05,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2021-03-05,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2021-02-05,0.48
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2021-01-05,0.42
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2021-30-04,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2021-29-04,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2021-28-04,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2021-27-04,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2021-26-04,0.41
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2021-25-04,0.49
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2021-24-04,0.42
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2021-23-04,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2021-22-04,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2021-21-04,0.47
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2021-20-04,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2021-19-04,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2021-18-04,0.48
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2021-17-04,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2021-16-04,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2021-15-04,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2021-14-04,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2021-13-04,0.4
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2021-12-04,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2021-11-04,0.49
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2021-10-04,0.42
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2021-09-04,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2021-08-04,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2021-07-04,0.4
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2021-06-04,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2021-05-04,0.41
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2021-04-04,0.49
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2021-03-04,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2021-02-04,0.46
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2021-01-04,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2021-31-03,0.42
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2021-30-03,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2021-29-03,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2021-28-03,0.53
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2021-27-03,0.48
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2021-26-03,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2021-25-03,0.44
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2021-24-03,0.44
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2021-23-03,0.45
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2021-22-03,0.44
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2021-21-03,0.56
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2021-20-03,0.52
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2021-19-03,0.5
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2021-18-03,0.5
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2021-17-03,0.49
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2021-16-03,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2021-15-03,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2021-14-03,0.5
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2021-13-03,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2021-12-03,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2021-11-03,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2021-10-03,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2021-09-03,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2021-08-03,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2021-07-03,0.49
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2021-06-03,0.43
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2021-05-03,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2021-04-03,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2021-03-03,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2021-02-03,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2021-01-03,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2021-28-02,0.47
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2021-27-02,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2021-26-02,0.35
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2021-25-02,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2021-24-02,0.41
